Instance,OPTIMUM,ANGEL ,BB,SA,GRASP,ANT,LP,PHYSARUM
lipa20a,3683,3683,3683,3767,3683,3683,,3683
lipa30a,13178,13178,13379,13401,13178,13178,,13178
lipa40a,31538,31538,31901,31920,31893,31859,,31538
lipa50a,62093,62093,62681,62681,,,,62093
lipa60a,107218,107218,108050,108130,,,,107956
lipa70a,169755,169755,170935,,,,,170775
lipa80a,253195,253195,254673,,,,,254655
lipa90a,360630,360630,362713,,,,,362538
nug12,578,578,578,600,578,,,578
nug14,1014,1014,1014,1046,1018,,,1014
nug15,1150,1150,1150,1170,1150,,,1150
nug16a,1610,1610,1610,1642,1612,,,1610
nug16b,1240,1240,1240,1270,1240,,,1240
nug17,1732,1732,1732,1776,1750,,,1732
nug18,1930,1930,1930,1964,1946,,,1930
nug20,2570,2570,2570,2598,2588,2570,,2570
nug21,2438,2438,2438,2476,2444,,2438,2438
nug22,3596,3596,3612,3642,3604,,3596,3596
nug24,3488,3488,3596,3592,3516,,3488,3488
nug25,3744,3744,3806,3762,3788,,3744,3744
nug30,6124,6124,6344,6336,6216,6124,6124,6128